RSSD9001,RSSD9050,RSSD9999,RSSDSubmissionDate,RSSD9055,RSSDOTSDocketNumber,RSSD9042,RSSD9017,RSSDFinInstAddress,RSSD9130,RSSD9200,RSSD9220,RSSDFinInstFilingType,RCFN5513,RCFNK260,RCFNK290,RCFNB554,RCFNB555,RCFNB553,RCFN2650,RCFN2625,RCFNGW43,RCFNB902,RCFNB903,RCFNB900,RCFNB901,RCFNK293,RCFNK291,RCFNK292,RCFNK296,RCFNK294,RCFNK295,RCFNK289,RCFN6631,RCFNB572,RCFNB573,RCFNB574,RCFN3404,RCFN3360,RCFNA245,RCFN6636,RCFNF235,RCFN2200,RCFNF234,RCFN2133,RCFN2898,RCFN3542,RCFN3543
37,10057,03/31/2022,11APR2022:15:32:44,0,16553,61107146,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10057,06/30/2022,25JUL2022:11:08:47,0,16553,61107146,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10057,09/30/2022,17OCT2022:14:54:17,0,16553,61107146,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10057,12/31/2022,18JAN2023:09:55:15,0,16553,61107146,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,10057,03/31/2023,14APR2023:10:03:40,0,16553,61107146,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,3850,03/31/2022,27APR2022:11:00:30,0,0,81220537,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,3850,06/30/2022,26JUL2022:13:47:37,0,0,81220537,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,3850,09/30/2022,16NOV2022:13:08:13,0,0,81220537,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,3850,12/31/2022,24JAN2023:10:55:08,0,0,81220537,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,3850,03/31/2023,19APR2023:11:00:36,0,0,81220537,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,28868,03/31/2022,29APR2022:11:51:29,0,2523,311972526,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,28868,06/30/2022,28JUL2022:12:12:29,0,2523,311972526,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,28868,09/30/2022,28OCT2022:12:13:51,0,2523,311972526,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,28868,12/31/2022,14FEB2023:15:23:52,0,2523,311972526,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,28868,03/31/2023,25MAY2023:15:43:32,0,2523,311972526,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,14083,03/31/2022,30APR2022:23:51:43,0,0,101107475,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,14083,06/30/2022,14OCT2022:10:22:26,0,0,101107475,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,14083,09/30/2022,14DEC2022:17:11:15,0,0,101107475,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,14083,12/31/2022,30JAN2023:17:53:24,0,0,101107475,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,14083,03/31/2023,30APR2023:12:04:25,0,0,101107475,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
