RSSD9001,RSSD9017,RSSD9999,RCFD2170
37,BANK OF HANCOCK COUNTY,03/31/2022,0.0
242,FIRST COMMUNITY BANK XENIA-FLORA,03/31/2022,0.0
279,"MINEOLA COMMUNITY BANK, SSB",03/31/2022,0.0
354,BISON STATE BANK,03/31/2022,0.0
457,LOWRY STATE BANK,03/31/2022,0.0
505,BALLSTON SPA NATIONAL BANK,03/31/2022,0.0
1155,FIRST STATE BANK & TRUST COMPANY,03/31/2022,0.0
1351,BANK OF GRANDIN,03/31/2022,0.0
1454,HILLTOP NATIONAL BANK,03/31/2022,0.0
1669,"LIBERTY NATIONAL BANK IN PARIS, THE",03/31/2022,0.0
1856,WASHITA STATE BANK,03/31/2022,0.0
2161,LAMAR NATIONAL BANK,03/31/2022,0.0
2732,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",03/31/2022,0.0
2750,GENOA COMMUNITY BANK,03/31/2022,0.0
3252,"FIRST NATIONAL BANK OF GORDON, THE",03/31/2022,0.0
3458,FARMBANK,03/31/2022,0.0
3720,"BANK OF CLARENDON, THE",03/31/2022,0.0
3971,MIDCOUNTRY BANK,03/31/2022,0.0
4156,KANZA BANK,03/31/2022,0.0
4231,FARMERS AND MERCHANTS BANK,03/31/2022,0.0
5069,FIRST CREDIT BANK,03/31/2022,0.0
5135,FIRST STATE BANK OF BLAKELY,03/31/2022,0.0
5210,ACNB BANK,03/31/2022,0.0
5461,BAC COMMUNITY BANK,03/31/2022,0.0
5751,KEARNY COUNTY BANK,03/31/2022,0.0
6039,PINELAND BANK,03/31/2022,0.0
6329,ANDERSON BROTHERS BANK,03/31/2022,0.0
7009,BESSEMER TRUST COMPANY,03/31/2022,0.0
7045,"PEOPLES BANK, THE",03/31/2022,0.0
7072,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,03/31/2022,0.0
7456,BANK OF HARTINGTON,03/31/2022,0.0
7634,"FOUR COUNTY BANK, THE",03/31/2022,0.0
8033,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,03/31/2022,0.0
8462,"PERRYTON NATIONAL BANK, THE",03/31/2022,0.0
8631,"PLEASANTS COUNTY BANK, THE",03/31/2022,0.0
9357,FIDELITY BANK,03/31/2022,0.0
9553,ADAMS COUNTY BANK,03/31/2022,0.0
9807,AMBOY BANK,03/31/2022,0.0
9955,FUSION BANK,03/31/2022,0.0
10250,"BANK OF ELK RIVER, THE",03/31/2022,0.0
10849,FIRST STATE BANK,03/31/2022,0.0
11145,LAKE-OSCEOLA STATE BANK,03/31/2022,0.0
11640,FIRST NATIONAL BANK OF CLARKSDALE,03/31/2022,0.0
11837,"FARMERS BANK, THE",03/31/2022,0.0
12030,FNB SOUTH,03/31/2022,0.0
12142,"CLEVELAND STATE BANK, THE",03/31/2022,0.0
12311,"HUNTINGTON NATIONAL BANK, THE",03/31/2022,176020595.0
12647,"PORTAGE COUNTY BANK, THE",03/31/2022,0.0
12656,EMERALD BANK,03/31/2022,0.0
12946,FARMERS BANK & TRUST COMPANY,03/31/2022,0.0
13103,BRISTOL COUNTY SAVINGS BANK,03/31/2022,0.0
13251,ELYSIAN BANK,03/31/2022,0.0
13457,BANK OF LEWELLEN,03/31/2022,0.0
14155,F & C BANK,03/31/2022,0.0
14650,BANK OF LOCUST GROVE,03/31/2022,0.0
14753,"FARMERS STATE BANK OF BUCKLIN, KANSAS, THE",03/31/2022,0.0
14865,BANK OF EASTERN OREGON,03/31/2022,0.0
14977,"FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB",03/31/2022,0.0
16551,NORTHVIEW BANK,03/31/2022,0.0
17110,"HAVERFORD TRUST COMPANY, THE",03/31/2022,0.0
17147,FIRST MERCHANTS BANK,03/31/2022,0.0
17259,"FIRST NATIONAL BANK IN MARLOW, THE",03/31/2022,0.0
17950,"BANK OF BRIDGER, NATIONAL ASSOCIATION",03/31/2022,0.0
17978,ELIZABETHTON FEDERAL SAVINGS BANK,03/31/2022,0.0
18050,"FIRST NATIONAL BANK OF BASTROP, THE",03/31/2022,0.0
18827,"NEXTIER BANK, NA",03/31/2022,0.0
18836,CAPON VALLEY BANK,03/31/2022,0.0
18854,BANK7,03/31/2022,0.0
19356,SECURITY BANK AND TRUST COMPANY,03/31/2022,0.0
19936,CITIZENS BANK OF AMERICUS,03/31/2022,0.0
19972,FARMERS BUILDING AND SAVINGS BANK,03/31/2022,0.0
20053,SECURITY BANK,03/31/2022,0.0
20633,MCNB BANK AND TRUST CO.,03/31/2022,0.0
20857,FM BANK,03/31/2022,0.0
21256,STATE BANK OF BURRTON,03/31/2022,0.0
21359,AMERICAN STATE BANK OF GRYGLA,03/31/2022,0.0
21658,ALLIANCE BANK,03/31/2022,0.0
22048,UNION BANK & TRUST COMPANY,03/31/2022,0.0
22543,STATE SAVINGS BANK,03/31/2022,0.0
22552,FIRST SOUTHEAST BANK,03/31/2022,0.0
22730,WEST UNION BANK,03/31/2022,0.0
23456,"FIRST NATIONAL BANK OF HENNING, THE",03/31/2022,0.0
23504,DIME COMMUNITY BANK,03/31/2022,0.0
23643,COMMERCIAL BANK & TRUST COMPANY,03/31/2022,0.0
23755,FIRST NATIONAL COMMUNITY BANK,03/31/2022,0.0
24006,PCSB BANK,03/31/2022,0.0
24378,"GALION BUILDING AND LOAN BANK, THE",03/31/2022,0.0
24659,PRODUCE STATE BANK,03/31/2022,0.0
24668,BTH BANK NATIONAL ASSOCIATION,03/31/2022,0.0
24949,BARABOO STATE BANK,03/31/2022,0.0
25357,ALL AMERICA BANK,03/31/2022,0.0
25647,FIRST SECURE BANK AND TRUST CO.,03/31/2022,0.0
26457,LA MONTE COMMUNITY BANK,03/31/2022,0.0
26765,VANTAGE BANK TEXAS,03/31/2022,0.0
27070,PREVAIL BANK,03/31/2022,0.0
27548,BLACKHAWK BANK,03/31/2022,0.0
27614,"ANDOVER BANK, THE",03/31/2022,0.0
27847,DIAMOND BANK,03/31/2022,0.0
28013,NORTHFIELD BANK,03/31/2022,0.0
28152,HARVEST BANK,03/31/2022,0.0
28675,"CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK",03/31/2022,0.0
28732,PEOPLES BANK & TRUST COMPANY,03/31/2022,0.0
29476,RIVERBANK,03/31/2022,0.0
29636,"CITIZENS BANK OF PHILADELPHIA, THE",03/31/2022,0.0
29878,MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,03/31/2022,0.0
30052,AMISTAD BANK,03/31/2022,0.0
30502,NORTHWAY BANK,03/31/2022,0.0
30650,LAKE COMMUNITY BANK,03/31/2022,0.0
30810,DISCOVER BANK,03/31/2022,105657408.0
31134,"FIRST NATIONAL BANK OF WAYNESBORO, THE",03/31/2022,0.0
31255,CENTRAL BANK,03/31/2022,0.0
31657,"FIRST STATE BANK OF BEN WHEELER, TEXAS",03/31/2022,0.0
31826,POWELL VALLEY NATIONAL BANK,03/31/2022,0.0
31835,BANK OF ANGUILLA,03/31/2022,0.0
32234,FIRST NATIONAL BANK AND TRUST COMPANY,03/31/2022,0.0
32766,LAKESIDE BANK,03/31/2022,0.0
32971,SECURITY FEDERAL SAVINGS BANK,03/31/2022,0.0
33147,FARMERS BANK AND TRUST COMPANY,03/31/2022,0.0
33259,PREMIER BANK,03/31/2022,0.0
33268,"ROSCOE STATE BANK, THE",03/31/2022,0.0
33370,"HOME SAVINGS BANK, FSB",03/31/2022,0.0
33839,PEOPLES STATE BANK OF COLFAX,03/31/2022,0.0
33857,FRONTIER BANK,03/31/2022,0.0
34434,MAGNOLIA STATE BANK,03/31/2022,0.0
34537,SEACOAST NATIONAL BANK,03/31/2022,0.0
34555,MA BANK,03/31/2022,0.0
34742,FIRST WESTERN BANK,03/31/2022,0.0
35057,ALLIANT BANK,03/31/2022,0.0
35301,STATE STREET BANK AND TRUST COMPANY,03/31/2022,318494000.0
35570,INVESTORS BANK,03/31/2022,0.0
35646,BONDUEL STATE BANK,03/31/2022,0.0
35879,EAST WISCONSIN SAVINGS BANK,03/31/2022,0.0
36456,COMMUNITY FIRST BANK,03/31/2022,0.0
36933,FIRST STATE BANK,03/31/2022,0.0
37051,OAKWOOD BANK,03/31/2022,0.0
37341,BANK OF ONTARIO,03/31/2022,0.0
37435,UNITED BANK,03/31/2022,0.0
37640,GERMAN AMERICAN BANK,03/31/2022,0.0
37659,"FARMERS STATE BANK, ALLEN, OKLAHOMA",03/31/2022,0.0
37949,BANK OF RANTOUL,03/31/2022,0.0
38740,OWEN COUNTY STATE BANK,03/31/2022,0.0
39327,"CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND",03/31/2022,0.0
39756,NBC OKLAHOMA,03/31/2022,0.0
40033,RICHTON BANK & TRUST COMPANY,03/31/2022,0.0
40499,HARBORONE BANK,03/31/2022,0.0
40855,ESB BANK,03/31/2022,0.0
41553,FIRST STATE BANK,03/31/2022,0.0
41629,PIONEER BANK,03/31/2022,0.0
41825,MIDDLETOWN VALLEY BANK,03/31/2022,0.0
42037,PEOPLES EXCHANGE BANK,03/31/2022,0.0
42354,"COMMERCIAL NATIONAL BANK OF BRADY, THE",03/31/2022,0.0
42372,FIRST FEDERAL SAVINGS BANK OF LINCOLNTON,03/31/2022,0.0
42420,FIRST COMMONWEALTH BANK,03/31/2022,0.0
42448,FIRST NATIONAL BANK,03/31/2022,0.0
42457,COMMERCIAL BANK,03/31/2022,0.0
43052,SECURITY STATE BANK,03/31/2022,0.0
43351,PEOPLES STATE BANK,03/31/2022,0.0
43856,"MINERS NATIONAL BANK OF EVELETH, THE",03/31/2022,0.0
43959,BRIDGE CITY STATE BANK,03/31/2022,0.0
44040,"FIRST NATIONAL BANK OF MONTEREY, THE",03/31/2022,0.0
44433,"INTERCREDIT BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
44741,CITIZENS BANK,03/31/2022,0.0
44750,CITIZENS BANK OF THE MIDWEST,03/31/2022,0.0
44929,"FIRST NATIONAL BANK OF MCCONNELSVILLE, THE",03/31/2022,0.0
45038,STATE BANK OF DAVIS,03/31/2022,0.0
45047,"FIRST NATIONAL BANK AT PARIS, THE",03/31/2022,0.0
45056,PLATTE VALLEY BANK,03/31/2022,0.0
45430,JOHNSON COUNTY BANK,03/31/2022,0.0
45458,VINTAGE BANK KANSAS,03/31/2022,0.0
45551,BANK MIDWEST,03/31/2022,0.0
45560,JEFFERSON BANK,03/31/2022,0.0
45775,IRON WORKERS SAVINGS BANK,03/31/2022,0.0
46053,"STATE BANK OF FARIBAULT, THE",03/31/2022,0.0
46941,FARMERS BANK AND TRUST COMPANY,03/31/2022,0.0
47247,"DART BANK, THE",03/31/2022,0.0
47256,COMMUNITY FINANCIAL BANK,03/31/2022,0.0
47452,FIRST NATIONAL BANK OF BENTON,03/31/2022,0.0
47500,CLAREMONT SAVINGS BANK,03/31/2022,0.0
48057,PRAIRIE BANK OF KANSAS,03/31/2022,0.0
48150,FRANKLIN STATE BANK,03/31/2022,0.0
48374,FIRST FINANCIAL BANK,03/31/2022,0.0
48440,CLEVELAND STATE BANK,03/31/2022,0.0
49054,COMMERCE BANK,03/31/2022,0.0
49148,RUSHVILLE STATE BANK,03/31/2022,0.0
49241,"RELYANCE BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
49652,FIRST BANK,03/31/2022,0.0
49858,BANK OF SOUTH TEXAS,03/31/2022,0.0
49951,"FIRST SECURITY BANK, THE",03/31/2022,0.0
50144,STATE BANK OF MEDORA,03/31/2022,0.0
50461,CALIFORNIA PACIFIC BANK,03/31/2022,0.0
51253,APEX BANK,03/31/2022,0.0
51356,LATIMER STATE BANK,03/31/2022,0.0
51459,CENTERA BANK,03/31/2022,0.0
51842,FARMERS & MERCHANTS UNION BANK,03/31/2022,0.0
52719,"DEPOSITORY TRUST COMPANY, THE",03/31/2022,0.0
52951,SECURITY STATE BANK OF OKLAHOMA,03/31/2022,0.0
53051,"BUCKHOLTS STATE BANK, THE",03/31/2022,0.0
54058,"BANK OF TESCOTT, THE",03/31/2022,0.0
54656,CITIZENS STATE BANK,03/31/2022,0.0
54973,"AMERICAN SAVINGS BANK, F.S.B.",03/31/2022,0.0
55336,METAIRIE BANK & TRUST COMPANY,03/31/2022,0.0
55635,CITIZENS SAVINGS BANK AND TRUST COMPANY,03/31/2022,0.0
55653,FIDELITY STATE BANK AND TRUST COMPANY,03/31/2022,0.0
55970,EVERGREEN FEDERAL BANK,03/31/2022,0.0
56258,"CITIZENS BANK & TRUST CO., HUTCHINSON, MINN.",03/31/2022,0.0
56351,"VERABANK, NATIONAL ASSOCIATION",03/31/2022,0.0
56548,DMB COMMUNITY BANK,03/31/2022,0.0
56717,"DIME BANK, THE",03/31/2022,0.0
57040,FIRST NATIONAL BANK AT DARLINGTON,03/31/2022,0.0
57451,DAIRY STATE BANK,03/31/2022,0.0
58225,"FARMERS BANK AND SAVINGS COMPANY, THE",03/31/2022,0.0
58243,JOHNSON BANK,03/31/2022,0.0
58355,VANTAGE BANK,03/31/2022,0.0
58551,SECURITY STATE BANK,03/31/2022,0.0
58636,CENTURY BANK,03/31/2022,0.0
58757,KENSINGTON BANK,03/31/2022,0.0
58971,WASHINGTON TRUST BANK,03/31/2022,0.0
59316,WAYNE BANK,03/31/2022,0.0
59352,CITIZENS NATIONAL BANK,03/31/2022,0.0
59370,FIRST SHORE FEDERAL SAVINGS AND LOAN ASSOCIATION,03/31/2022,0.0
59754,METHOD BANK,03/31/2022,0.0
60143,COMERICA BANK,03/31/2022,89142000.0
60330,PEOPLES BANK OF ALABAMA,03/31/2022,0.0
60545,"HOME TRUST & SAVINGS BANK, THE",03/31/2022,0.0
60554,FIRST STATE BANK MINNESOTA,03/31/2022,0.0
60648,FIRST NATIONAL BANK,03/31/2022,0.0
61122,FIRST UNITED BANK & TRUST,03/31/2022,0.0
61355,CORTRUST BANK NATIONAL ASSOCIATION,03/31/2022,0.0
61476,ABINGTON BANK,03/31/2022,0.0
61757,AMERICAN HERITAGE NATIONAL BANK,03/31/2022,0.0
61832,"FIRST NATIONAL BANK OF MOUNT DORA, THE",03/31/2022,0.0
61953,FNB COWETA,03/31/2022,0.0
62044,SEBREE DEPOSIT BANK,03/31/2022,0.0
62110,"ROCKEFELLER TRUST COMPANY, NATIONAL ASSOCIATION",03/31/2022,0.0
62147,COMMUNITY FIRST BANK,03/31/2022,0.0
63050,"DOLORES STATE BANK, THE",03/31/2022,0.0
63069,CITY NATIONAL BANK,03/31/2022,91770285.0
63201,CAYUGA LAKE NATIONAL BANK,03/31/2022,0.0
63573,WALPOLE CO-OPERATIVE BANK,03/31/2022,0.0
63733,CITIZENS BANK,03/31/2022,0.0
63742,HOMETOWN BANK,03/31/2022,0.0
64150,WYOMING BANK & TRUST,03/31/2022,0.0
64552,CHICKASAW COMMUNITY BANK,03/31/2022,0.0
64730,FARMERS & MERCHANTS BANK,03/31/2022,0.0
65205,"TORRINGTON SAVINGS BANK, THE",03/31/2022,0.0
65513,DELTA NATIONAL BANK AND TRUST COMPANY,03/31/2022,445662.0
65559,PIONEER BANK & TRUST,03/31/2022,0.0
65858,EMPRISE BANK,03/31/2022,0.0
66154,DECATUR COUNTY BANK,03/31/2022,0.0
66275,FIRST SOUTHERN BANK,03/31/2022,0.0
66677,CINCINNATI FEDERAL,03/31/2022,0.0
67142,PEOPLES TRUST AND SAVINGS BANK,03/31/2022,0.0
67151,KIRKPATRICK BANK,03/31/2022,0.0
67209,NEWBURYPORT FIVE CENTS SAVINGS BANK,03/31/2022,0.0
67254,YOUNG AMERICANS BANK,03/31/2022,0.0
67656,FIRST SAVINGS BANK,03/31/2022,0.0
67870,TC FEDERAL BANK,03/31/2022,0.0
68671,"GRAND BANK FOR SAVINGS, F.S.B.",03/31/2022,0.0
68756,LIBERTY NATIONAL BANK,03/31/2022,0.0
68831,BANK OF FRANKLIN,03/31/2022,0.0
69333,"CITIZENS NATIONAL BANK OF MERIDIAN, THE",03/31/2022,0.0
69678,BAKER BOYER NATIONAL BANK,03/31/2022,0.0
70218,UNITED ORIENT BANK,03/31/2022,0.0
70414,"NORTHUMBERLAND NATIONAL BANK, THE",03/31/2022,0.0
70638,PEOPLES BANK,03/31/2022,0.0
70955,NEBRASKA STATE BANK,03/31/2022,0.0
71073,HOME FEDERAL SAVINGS AND LOAN ASSOCIATION OF NILES OHIO,03/31/2022,0.0
71457,BRUNING BANK,03/31/2022,0.0
71859,CBW BANK,03/31/2022,0.0
72258,"CONVERSE COUNTY BANK, THE",03/31/2022,0.0
72351,FARMERS STATE BANK,03/31/2022,0.0
72454,FREEPORT STATE BANK,03/31/2022,0.0
72678,BELMONT SAVINGS BANK,03/31/2022,0.0
73116,ARTISANS' BANK,03/31/2022,0.0
73152,"FARMERS AND MERCHANTS NATIONAL BANK OF FAIRVIEW, THE",03/31/2022,0.0
73554,PATHWAY BANK,03/31/2022,0.0
73956,SECURITY STATE BANK,03/31/2022,0.0
74056,SOUTH CENTRAL STATE BANK,03/31/2022,0.0
74140,ISABELLA BANK,03/31/2022,0.0
74403,MERRIMACK COUNTY SAVINGS BANK,03/31/2022,0.0
74449,FIRST NATIONAL BANK IN TIGERTON,03/31/2022,0.0
75259,FIRST OKLAHOMA BANK,03/31/2022,0.0
75446,SOUTH OTTUMWA SAVINGS BANK,03/31/2022,0.0
75455,"NORTHERN STATE BANK OF GONVICK, THE",03/31/2022,0.0
75633,BMO HARRIS BANK NATIONAL ASSOCIATION,03/31/2022,166508665.0
75651,CERESCOBANK,03/31/2022,0.0
76153,BANK OF CLARKS,03/31/2022,0.0
76443,"PEOPLES BANK, THE",03/31/2022,0.0
76854,GRAND BANK,03/31/2022,0.0
77150,FIRST FARMERS & MERCHANTS STATE BANK OF GRAND MEADOW,03/31/2022,0.0
77253,"TXN BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
77422,COMMUNITY BANKERS' BANK,03/31/2022,0.0
77851,FIRST BANK & TRUST,03/31/2022,0.0
78157,BANDERA BANK,03/31/2022,0.0
78241,FIRST NATURALSTATE BANK,03/31/2022,0.0
78559,SUMMIT NATIONAL BANK,03/31/2022,0.0
79042,WEST POINT BANK,03/31/2022,0.0
79127,HOME NATIONAL BANK,03/31/2022,0.0
79145,FARMERS & MERCHANTS STATE BANK,03/31/2022,0.0
79257,GROVE BANK,03/31/2022,0.0
79855,CITY BANK & TRUST CO.,03/31/2022,0.0
80150,FIRST FIDELITY BANK,03/31/2022,0.0
80374,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF DELTA,03/31/2022,0.0
80431,UNION BANK & TRUST COMPANY,03/31/2022,0.0
81175,EQUITABLE BANK,03/31/2022,0.0
82033,FIRST NATIONAL BANK OF PASCO,03/31/2022,0.0
82257,BRYANT STATE BANK,03/31/2022,0.0
