Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,121.169998,121.300003,120.919998,121.209999,108.403175,6293500
2019-02-26,121.730003,121.820000,121.360001,121.809998,108.939774,6028900
2019-02-27,121.120003,121.129997,120.279999,120.430000,107.705566,7737300
2019-02-28,120.559998,120.620003,119.709999,120.019997,107.338882,9533400
2019-03-01,119.330002,119.529999,118.639999,118.660004,106.346779,13541100
2019-03-04,119.290001,119.769997,119.059998,119.589996,107.180260,9808500
2019-03-05,119.279999,119.870003,119.269997,119.839996,107.404335,5595200
2019-03-06,119.919998,120.519997,119.889999,120.279999,107.798637,7766700
2019-03-07,120.639999,121.260002,120.610001,121.059998,108.497757,8187200
2019-03-08,121.120003,121.690002,120.849998,121.570000,108.954811,7517600
2019-03-11,121.400002,121.419998,120.980003,121.209999,108.632141,5157800
2019-03-12,121.300003,122.230003,121.260002,122.059998,109.393929,6422300
2019-03-13,121.660004,121.959999,121.620003,121.830002,109.187820,4386300
2019-03-14,121.690002,121.760002,120.919998,120.949997,108.399162,8188400
2019-03-15,121.739998,121.949997,121.400002,121.750000,109.116104,4302000
2019-03-18,121.570000,121.870003,121.519997,121.680000,109.053406,3893300
2019-03-19,121.089996,121.620003,120.889999,121.410004,108.811432,5220200
2019-03-20,121.739998,122.849998,121.730003,122.680000,109.949623,10123700
2019-03-21,122.959999,123.089996,122.739998,122.949997,110.191574,7182600
2019-03-22,124.209999,125.279999,124.059998,124.860001,111.903397,13077000
2019-03-25,124.809998,125.940002,124.510002,125.059998,112.082619,9736300
2019-03-26,124.699997,125.290001,124.620003,124.970001,112.001968,7502000
2019-03-27,125.419998,126.339996,125.309998,126.120003,113.032631,14207200
2019-03-28,126.250000,126.690002,126.010002,126.559998,113.426964,9143200
2019-03-29,125.680000,126.470001,125.639999,126.440002,113.319427,10841400
2019-04-01,125.290001,125.360001,124.190002,124.370003,111.709854,16501500
2019-04-02,124.480003,124.739998,124.250000,124.599998,111.916466,9725000
2019-04-03,123.610001,123.870003,123.370003,123.519997,110.946396,10407000
2019-04-04,123.599998,123.889999,123.440002,123.870003,111.260757,7503400
2019-04-05,123.620003,124.169998,123.580002,124.029999,111.404449,6321800
2019-04-08,123.830002,123.949997,123.519997,123.589996,111.009254,4446400
2019-04-09,124.220001,124.339996,123.769997,123.980003,111.359550,7020300
2019-04-10,124.269997,124.519997,124.099998,124.279999,111.629036,7519900
2019-04-11,123.930000,124.019997,123.410004,123.550003,110.973343,8679300
2019-04-12,122.889999,123.059998,122.629997,122.669998,110.182892,7005500
2019-04-15,122.779999,122.989998,122.720001,122.980003,110.461342,3070000
2019-04-16,122.510002,122.629997,122.139999,122.209999,109.769730,8927300
2019-04-17,122.129997,122.570000,122.110001,122.260002,109.814659,6118500
2019-04-18,122.809998,123.099998,122.779999,122.900002,110.389496,27589400
2019-04-22,122.470001,122.570000,122.239998,122.309998,109.859543,6241200
2019-04-23,122.610001,122.699997,122.389999,122.570000,110.093079,6239700
2019-04-24,123.110001,123.589996,123.089996,123.570000,110.991302,7302000
2019-04-25,123.489998,123.620003,123.099998,123.389999,110.829605,5380900
2019-04-26,123.980003,124.019997,123.639999,123.809998,111.206833,5950700
2019-04-29,123.230003,123.349998,122.849998,123.019997,110.497292,10246000
2019-04-30,122.949997,123.739998,122.930000,123.650002,111.063133,7957400
2019-05-01,123.690002,124.449997,123.599998,123.900002,111.521301,14371900
2019-05-02,123.680000,123.809998,123.040001,123.309998,110.990273,6612800
2019-05-03,123.660004,123.879997,123.370003,123.660004,111.305283,6191700
2019-05-06,124.309998,124.379997,123.930000,124.000000,111.611290,4482500
2019-05-07,124.529999,125.139999,124.389999,124.949997,112.466377,8984900
2019-05-08,125.150002,125.300003,124.300003,124.410004,111.980354,6907600
2019-05-09,125.110001,125.300003,124.309998,124.919998,112.439362,9411900
2019-05-10,124.889999,125.449997,124.589996,124.750000,112.286385,6037800
2019-05-13,125.400002,125.930000,125.250000,125.730003,113.168465,10501600
2019-05-14,125.510002,125.650002,125.199997,125.360001,112.835442,5690400
2019-05-15,126.209999,126.269997,125.769997,126.129997,113.528488,9566300
2019-05-16,125.809998,125.830002,125.529999,125.709999,113.150505,7666400
2019-05-17,126.279999,126.300003,125.690002,125.989998,113.402489,4747100
2019-05-20,126.120003,126.379997,125.650002,125.730003,113.168465,6043100
2019-05-21,125.599998,125.720001,125.300003,125.529999,112.988426,4021800
2019-05-22,125.769997,126.330002,125.720001,126.250000,113.636505,5675300
